taxon_id,name_norm,scientific,demo,form,height_m_mature,root_depth_m,root_habit,sla_m2_kg,t_min_c,t_max_c,rain_min_mm,rain_max_mm,texture_ok,drain_ok,phenology,dispersal
agrostis_stolonifera,agrostis stolonifera,Agrostis stolonifera,1,herb,0.3,0.631,top,27.0317,4,45,200,1800,MO,WMD,evergreen,water
dactylis_glomerata,dactylis glomerata,Dactylis glomerata,1,herb,1.8,0.915,fibrous,40.805,5,30,200,1000,L,MD,,
lolium_perenne,lolium perenne,Lolium perenne,1,herb,0.272,0.527915,top,22.953,4,35,500,2300,HM,MD,evergreen,animal
oryza_sativa,oryza sativa,Oryza sativa,1,herb,1,,top,19.8,16,38,800,4000,H,W,,
pinus_taeda,pinus taeda,Pinus taeda,1,tree,13.1,2,both,5.41833,10,29,900,2200,HML,WMD,evergreen,wind
quercus_alba,quercus alba,Quercus alba,1,tree,20.1,1.5,both,15.0807,7,32,750,2000,M,MD,deciduous,
rhizophora_mangle,rhizophora mangle,Rhizophora mangle,1,tree,24,,both,5.3,10,38,1000,3000,H,W,evergreen,
triticum_aestivum,triticum aestivum,Triticum aestivum,1,herb,0.8,1.11,top,19.502,5,27,300,1600,MO,MD,deciduous,
typha_latifolia,typha latifolia,Typha latifolia,1,herb,1.524,0.4293,top,11.546,6,30,300,4000,H,W,deciduous,water
zea_mays,zea mays,Zea mays,1,herb,1.828,0.81,top,22.6,10,47,400,1800,MO,MD,,
hilaria_jamesii,hilaria jamesii,Hilaria jamesii,1,herb,0.26,1.36196,top,17.452,3,21,200,500,ML,D,,
